network	protocol	cap_folder_sharepoint_path	url	folder
HVTN	302	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN302/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=lt7jse	https://fredhutch.sharepoint.com/sites/HVTN302	/sites/HVTN302/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	304	https://fredhutch.sharepoint.com/:f:/r/sites/sD-MD394571/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=4t3viY	https://fredhutch.sharepoint.com/sites/sD-MD394571	/sites/sD-MD394571/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan
HVTN	405	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN405/Shared%20Documents/General/assayplan?csf=1&web=1&e=gMRHu6	https://fredhutch.sharepoint.com/sites/HVTN405	/sites/HVTN405/Shared%20Documents/General/assayplan
HVTN	307	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN307/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=SecOiT	https://fredhutch.sharepoint.com/sites/HVTN307	/sites/HVTN307/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	316	https://fredhutch.sharepoint.com/:f:/r/sites/Pediatric426cCoreNP/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=ykTSDL	https://fredhutch.sharepoint.com/sites/Pediatric426cCoreNP	/sites/Pediatric426cCoreNP/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan
HVTN	139	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN139/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=CiLm3h	https://fredhutch.sharepoint.com/sites/HVTN139	/sites/HVTN139/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan
HVTN	128	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN128/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Central%20Assay%20Plan?csf=1&web=1&e=gcVYoe	https://fredhutch.sharepoint.com/sites/HVTN128	/sites/HVTN128/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Central%20Assay%20Plan
HVTN	115	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN115/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/HVTN%20115%20Central%20Assay%20Plan%20(CAP)?csf=1&web=1&e=REXM5C	https://fredhutch.sharepoint.com/sites/HVTN115	/sites/HVTN115/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/HVTN%20115%20Central%20Assay%20Plan%20(CAP)
CoVPN	3008	https://fredhutch.sharepoint.com/:f:/r/sites/CoVPN3008/Shared%20Documents/Assay%20Planning/Central%20Assay%20Plan?csf=1&web=1&e=umolKQ	https://fredhutch.sharepoint.com/sites/CoVPN3008	/sites/CoVPN3008/Shared%20Documents/Assay%20Planning/Central%20Assay%20Plan
HVTN	303	https://fredhutch.sharepoint.com/:f:/r/sites/VRC019/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=QJs0nF	https://fredhutch.sharepoint.com/sites/VRC019	/sites/VRC019/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	301	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN301426C3M-052/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=9rnzUE	https://fredhutch.sharepoint.com/sites/HVTN301426C3M-052	/sites/HVTN301426C3M-052/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	135	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN135/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Assay%20Plan?csf=1&web=1&e=06qiYH	https://fredhutch.sharepoint.com/sites/HVTN135	/sites/HVTN135/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Assay%20Plan
HVTN	300	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN300/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=sg4VpE	https://fredhutch.sharepoint.com/sites/HVTN300	/sites/HVTN300/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	140	https://fredhutch.sharepoint.com/:f:/r/sites/PGDM1400LSmAbcombo/Shared%20Documents/Lab%20assays%20and%20analyses/Central%20Assay%20Plan?csf=1&web=1&e=COrVqt	https://fredhutch.sharepoint.com/sites/PGDM1400LSmAbcombo	/sites/PGDM1400LSmAbcombo/Shared%20Documents/Lab%20assays%20and%20analyses/Central%20Assay%20Plan
HVTN	136	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN136HPTN092/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=aGnqSL	https://fredhutch.sharepoint.com/sites/HVTN136HPTN092	/sites/HVTN136HPTN092/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	137	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN137/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=22cbDs	https://fredhutch.sharepoint.com/sites/HVTN137	/sites/HVTN137/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	804	https://fredhutch.sharepoint.com/:f:/r/sites/AMPATI804095and805093/Shared%20Documents/Lab%20assays%20and%20analyses/Central%20Assay%20Plan?csf=1&web=1&e=aHz5h1	https://fredhutch.sharepoint.com/sites/AMPATI804095and805093	/sites/AMPATI804095and805093/Shared%20Documents/Lab%20assays%20and%20analyses/Central%20Assay%20Plan
HVTN	805	https://fredhutch.sharepoint.com/:f:/r/sites/AMPATI804095and805093/Shared%20Documents/Lab%20assays%20and%20analyses/Central%20Assay%20Plan?csf=1&web=1&e=aHz5h1	https://fredhutch.sharepoint.com/sites/AMPATI804095and805093	/sites/AMPATI804095and805093/Shared%20Documents/Lab%20assays%20and%20analyses/Central%20Assay%20Plan
HVTN	143	https://fredhutch.sharepoint.com/:f:/r/sites/TriplemAbcombo/Shared%20Documents/Lab%20Assays%20and%20Data/Central%20Assay%20Plan?csf=1&web=1&e=5KB4RB	https://fredhutch.sharepoint.com/sites/TriplemAbcombo	/sites/TriplemAbcombo/Shared%20Documents/Lab%20Assays%20and%20Data/Central%20Assay%20Plan
HVTN	807	https://fredhutch.sharepoint.com/:f:/r/sites/426cVaxATIBoost/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Central%20Assay%20Plan?csf=1&web=1&e=E6yv0k	https://fredhutch.sharepoint.com/sites/426cVaxATIBoost	/sites/426cVaxATIBoost/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Central%20Assay%20Plan
HVTN	311	https://fredhutch.sharepoint.com/:f:/r/sites/CH505TFchTrimerInfantstudy2/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=8gTeNW	https://fredhutch.sharepoint.com/sites/CH505TFchTrimerInfantstudy2	/sites/CH505TFchTrimerInfantstudy2/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan
HVTN	806	https://fredhutch.sharepoint.com/:f:/r/sites/bNab-ATI2/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Central%20assay%20plan?csf=1&web=1&e=MgL9HI	https://fredhutch.sharepoint.com/sites/bNab-ATI2	/sites/bNab-ATI2/Shared%20Documents/Lab%20assays%20and%20data%20analyses/Central%20assay%20plan
HVTN	144	https://fredhutch.sharepoint.com/:f:/r/sites/N332-GT5gp140SMNP/Shared%20Documents/Laboratory%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan%20(CAP)?csf=1&web=1&e=dRJYjB	https://fredhutch.sharepoint.com/sites/N332-GT5gp140SMNP	/sites/N332-GT5gp140SMNP/Shared%20Documents/Laboratory%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan%20(CAP)
HVTN	306	https://fredhutch.sharepoint.com/:f:/r/sites/CH848mRNAconcept/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=Fm7ae9	https://fredhutch.sharepoint.com/sites/CH848mRNAconcept	/sites/CH848mRNAconcept/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	123	https://fredhutch.sharepoint.com/:f:/r/sites/HVTN123/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=Mjfagd	https://fredhutch.sharepoint.com/sites/HVTN123	/sites/HVTN123/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
HVTN	309	https://fredhutch.sharepoint.com/:f:/r/sites/CD4BSCH505M5PrNP-1/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=H3udVg	https://fredhutch.sharepoint.com/sites/CD4BSCH505M5PrNP-1	/sites/CD4BSCH505M5PrNP-1/Shared%20Documents/Lab%20Assays%20and%20Analyses/Central%20Assay%20Plan
HVTN	141	https://fredhutch.sharepoint.com/:f:/r/sites/E-bnAbsCombo/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan?csf=1&web=1&e=9vIxps	https://fredhutch.sharepoint.com/sites/E-bnAbsCombo	/sites/E-bnAbsCombo/Shared%20Documents/Lab%20Assays%20and%20Data%20Analyses/Central%20Assay%20Plan
